microcanonical number of states:
    E, kcal/mol          rxn_1          rxn_2          rxn_3          rxn_4         rxn_24     rxn_eor2_1     rxn_eor2_3     rxn_eor2_6     rxn_eor2_8     rxn_eor5_1         rxn_21         rxn_31     rxn_eor5_4
            100    6.05186e+23    1.61208e+25    1.13963e+25    4.67562e+27    2.14963e+29    1.01999e+25    4.17123e+25    3.19201e+27    1.84487e+27    3.54277e+23     2.6745e+29    6.80732e+29    1.13488e+25
            101     8.1257e+23    2.21354e+25    1.52267e+25    6.13081e+27    2.71709e+29    1.39316e+25    5.61853e+25     4.1562e+27    2.45512e+27    4.81154e+23    3.49483e+29     8.8905e+29    1.56204e+25
            102     1.0883e+24    3.03021e+25    2.02939e+25    8.02169e+27    3.42902e+29     1.8973e+25    7.54803e+25    5.40093e+27    3.25946e+27    6.51696e+23    4.55722e+29    1.15871e+30     2.1434e+25
            103    1.45401e+24    4.13588e+25    2.69816e+25    1.04737e+28    4.32084e+29    2.57648e+25    1.01139e+26     7.0048e+27     4.3172e+27    8.80339e+23    5.93038e+29    1.50709e+30     2.9323e+25
            104    1.93795e+24    5.62862e+25    3.57876e+25     1.3647e+28    5.43638e+29      3.489e+25    1.35176e+26    9.06755e+27    5.70508e+27     1.1861e+24    7.70171e+29     1.9563e+30    3.99978e+25
            105    2.57687e+24    7.63835e+25    4.73562e+25    1.77456e+28    6.82973e+29    4.71176e+25    1.80219e+26    1.17156e+28    7.52214e+27    1.59397e+24    9.98226e+29    2.53439e+30    5.44019e+25
            106    3.41849e+24    1.03368e+26    6.25202e+25    2.30291e+28    8.56759e+29    6.34596e+25    2.39684e+26     1.5109e+28    9.89599e+27    2.13672e+24    1.29129e+30    3.27695e+30    7.37851e+25
            107    4.52467e+24    1.39505e+26    8.23532e+25    2.98269e+28    1.07321e+30    8.52447e+25    3.18007e+26    1.94497e+28    1.29907e+28    2.85722e+24    1.66717e+30      4.229e+30    9.97985e+25
            108     5.9754e+24    1.87771e+26    1.08237e+26    3.85569e+28    1.34242e+30    1.14213e+26    4.20932e+26    2.49924e+28    1.70167e+28    3.81146e+24    2.14842e+30    5.44742e+30    1.34619e+26
            109    7.87395e+24    2.52076e+26    1.41945e+26    4.97472e+28    1.67679e+30    1.52638e+26    5.55883e+26    3.20579e+28    2.22437e+28    5.07231e+24    2.76343e+30    7.00393e+30    1.81107e+26
            110    1.03533e+25    3.37533e+26    1.85752e+26    6.40654e+28    2.09153e+30    2.03484e+26    7.32437e+26    4.10492e+28    2.90161e+28    6.73455e+24    3.54799e+30    8.98883e+30    2.43017e+26
            111    1.35845e+25    4.50823e+26    2.42566e+26     8.2353e+28    2.60528e+30    2.70607e+26    9.62919e+26    5.24722e+28    3.77738e+28    8.92106e+24    4.54709e+30    1.15156e+31    3.25261e+26
