microcanonical number of states:
    E, kcal/mol          rxn_2          rxn_4          rxn_7          rxn_1          rxn_5
            169    7.93931e+32    5.79265e+34    2.75443e+34    7.46459e+32    5.73761e+36
            170    9.56793e+32    6.85049e+34     3.2574e+34    9.06606e+32    6.77791e+36
            171    1.15197e+33    8.09541e+34    3.84928e+34    1.09998e+33    8.00069e+36
            172    1.38565e+33    9.55943e+34    4.54528e+34    1.33323e+33    9.43691e+36
            173    1.66517e+33    1.12799e+35     5.3631e+34    1.61431e+33    1.11226e+37
            174    1.99925e+33    1.33002e+35    6.32339e+34    1.95271e+33    1.30997e+37
            175    2.39815e+33     1.5671e+35    7.45015e+34    2.35971e+33    1.54168e+37
            176    2.87406e+33    1.84511e+35     8.7713e+34    2.84876e+33    1.81305e+37
            177    3.44132e+33    2.17089e+35    1.03193e+35    3.43584e+33    2.13065e+37
            178    4.11691e+33    2.55239e+35    1.21318e+35    4.13996e+33    2.50209e+37
            179    4.92081e+33    2.99883e+35    1.42526e+35    4.98366e+33     2.9362e+37
            180     5.8766e+33    3.52092e+35    1.67324e+35     5.9937e+33    3.44321e+37
            181    7.01201e+33    4.13107e+35      1.963e+35    7.20178e+33    4.03496e+37
            182    8.35969e+33    4.84364e+35    2.30136e+35    8.64544e+33    4.72513e+37
            183    9.95802e+33    5.67529e+35    2.69619e+35    1.03691e+34    5.52958e+37
            184    1.18521e+34    6.64529e+35    3.15663e+35    1.24253e+34    6.46659e+37
            185    1.40948e+34    7.77591e+35    3.69323e+35     1.4876e+34    7.55731e+37
            186    1.67481e+34    9.09292e+35    4.31817e+35    1.77944e+34    8.82611e+37
            187    1.98849e+34     1.0626e+36    5.04553e+35     2.1267e+34    1.03011e+38
            188    2.35904e+34    1.24097e+36    5.89156e+35    2.53953e+34    1.20148e+38
            189    2.79641e+34    1.44834e+36    6.87501e+35    3.02992e+34    1.40045e+38
            190    3.31228e+34    1.68928e+36    8.01746e+35    3.61196e+34    1.63131e+38
            191    3.92026e+34    1.96908e+36    9.34382e+35    4.30223e+34    1.89903e+38
            192    4.63627e+34    2.29378e+36    1.08827e+36    5.12017e+34    2.20928e+38
            193    5.47888e+34    2.67037e+36    1.26672e+36    6.08865e+34    2.56861e+38
            194    6.46973e+34    3.10688e+36    1.47351e+36    7.23445e+34    2.98454e+38
            195    7.63407e+34    3.61254e+36    1.71301e+36    8.58898e+34    3.46567e+38
            196    9.00128e+34    4.19796e+36    1.99021e+36     1.0189e+35    4.02192e+38
            197    1.06055e+35    4.87534e+36    2.31089e+36    1.20777e+35    4.66462e+38
            198    1.24867e+35    5.65865e+36    2.68161e+36    1.43052e+35    5.40677e+38
            199    1.46908e+35    6.56394e+36    3.10997e+36    1.69306e+35    6.26328e+38

state density, microcanonical rate constants:
well = w_1
    E, kcal/mol    D, mol/kcal       w_1->w_2      w_1->pr_1
              0              0            ***            ***
              1    1.64305e+07       0.233223              0
              2    1.54798e+08        1.12855              0
              3    8.39006e+08         3.5106              0
              4    3.51373e+09        8.84614              0
              5    1.26692e+10        19.5197              0
              6     4.0942e+10        39.6146              0
              7    1.21325e+11         76.008              0
              8      3.354e+11        139.867              0
              9    8.75449e+11        249.135              0
             10    2.17572e+12        432.462              0
             11    5.18198e+12        735.037              0
             12    1.18899e+13        1227.41              0
             13     2.6391e+13        2018.91              0
             14     5.6861e+13        3277.71              0
             15     1.1926e+14        5260.68              0
             16    2.44089e+14        8357.71              0
             17    4.88508e+14        13157.2              0
             18    9.57722e+14        20542.2              0
             19    1.84216e+15        31831.1              0
             20    3.48121e+15        48983.1              0
             21    6.47099e+15        74894.6              0
             22    1.18445e+16         113828              0
             23    2.13689e+16         172021    9.00434e-25
             24    3.80317e+16         258548    3.35956e-18
             25    6.68258e+16         386496    2.09875e-14
             26    1.16007e+17         574541    2.29348e-11
             27     1.9909e+17         848940     9.8352e-09
             28    3.37978e+17    1.24597e+06    2.29427e-06
             29    5.67858e+17    1.81479e+06    0.000345273
             30    9.44749e+17    2.62079e+06      0.0370523
             31    1.55711e+18    3.74922e+06        2.57809
             32    2.54347e+18    5.30922e+06        51.0318
             33     4.1192e+18    7.43811e+06        349.034
